Date,Type,Link
2022-01-26 11:49:44,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6891754142835048448
2022-01-16 06:33:12,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6887735635839348736
2022-01-11 11:22:00,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6885971845347196929
2022-01-04 05:58:57,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6883764599611527168
2021-12-25 15:28:10,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6880398442334707712
2021-12-23 16:16:29,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6879683819461496832
2021-12-21 07:23:21,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6878633966962900992
2021-12-21 07:21:57,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6878693532312449024
2021-12-21 07:17:12,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6878541459746910208
2021-12-06 06:17:10,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6873502464411348992
2021-11-29 17:49:22,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6870639579427418112
2021-11-29 17:49:14,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6871097605577871360
2021-11-26 09:11:49,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6869720765034491905
2021-11-25 08:58:40,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6869514837731414016
2021-11-23 14:01:21,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6865489552069525504
2021-11-18 19:50:48,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6866087392122589184
2021-11-18 19:50:29,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6863693979016413186
2021-11-18 19:50:22,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6863869806966394881
2021-11-09 13:52:21,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6861413128920469504
2021-10-31 14:12:44,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6858039646824275968
2021-10-31 14:12:19,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6860091071360241664
2021-10-31 14:11:46,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6859296223338254336
2021-10-27 14:03:04,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6859101692051386368
2021-10-26 04:21:37,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6858459409639649280
2021-10-25 16:41:12,INTEREST,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6853614129127714816
2021-10-20 04:42:00,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6853220330236899329
2021-10-08 06:59:00,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6851809524299386880
2021-10-07 13:54:04,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6849208053263343616
2021-10-07 13:53:14,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6848680863069294593
2021-09-18 09:57:59,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6843524426735190016
2021-09-09 18:02:11,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6841716758274039809
2021-09-08 09:33:22,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6838258850420793344
2021-09-08 09:31:26,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6840879020813418496
2021-09-04 15:12:36,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6833614511329611776?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A6833614511329611776%2C6839531130920738816%29
